situacao_setor,tipo_setor,metragem,valor_mm,valor_m2,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,bairro,quartos,banheiros,vagas,rua,cep,setor_censo,nome_do_distrito,sub_regiões,setor,sub_setor,divisao_sub_setor,quant_dom_part,quant_mor,valor_anuncio
1.0,0.0,2.98,2.301363791299888,0.12505915194369807,-0.26666666666666666,-0.39087947882736157,-0.7199999999999998,-0.015151515151514831,-0.24472091384745254,-0.05938289094273096,0.06492923537630431,-0.02336906774909652,-0.2645982839025327,-0.1160360503167173,-0.02108254713920503,-0.08427335423514087,0.025259763525618057,0.2998925116445718,0.02257255463991401,0.09620207810820494,0.0016123253314224292,0.0016123253314224292,0.002149767108563239,0.04980293801504837,0.37244715155858116,0.12809029021855967,0.09924758151200287,0.11519168756718022,0.42672877104980295,0.34127552848441417,15.76142084987672
1.0,0.0,0.964,0.8922348347566781,0.2283796810772089,-0.5333333333333333,-0.42996742671009774,0.21999999999999975,-0.13636363636363616,0.6222510438802762,0.09655389437257027,0.45672550428887115,0.08012784773679896,0.4939766604831974,0.14002087630949522,0.5326671770980678,0.06643564371645375,0.002149767108563239,0.2998925116445718,0.1816553206735937,0.20440702257255464,0.0008957362952346829,0.0008957362952346829,0.0010748835542816195,0.0293801504836976,0.37244715155858116,0.20154066642780366,0.14905051952705123,0.09566463633106413,0.42672877104980295,0.34127552848441417,15.123843647884687
1.0,0.0,-0.52,-0.5254342972807334,-0.7650200169285674,-0.47619047619047616,-0.20846905537459284,0.9000000000000004,1.530303030303031,-0.7041859127348189,-0.28888908809829916,-0.7050071451026432,-0.2792790218658474,-0.8475023465157012,-0.35106415198208224,-0.8183521717125838,-0.33142137760165913,0.00017914725904693657,0.2998925116445718,0.21121461841633823,0.2699749193837334,0.00017914725904693657,0.00017914725904693657,0.00017914725904693657,0.00017914725904693657,0.37244715155858116,0.013077749910426371,0.14905051952705123,0.0802579720530276,0.42672877104980295,0.34127552848441417,12.847929163278053
1.0,0.0,-0.62,-0.4571128933271232,-0.23456879507539907,-0.34285714285714286,-0.2899022801302932,-0.040000000000000036,-0.09090909090909066,-0.40496163311631556,-0.21335005532296114,-0.46246257657492035,-0.2059396220244523,-0.46891143843260136,-0.2723702329601988,-0.5456961548943018,-0.26332562295835693,0.0051952705123611605,0.45234682909351487,0.1934790397706915,0.2699749193837334,0.00035829451809387314,0.00035829451809387314,0.00035829451809387314,0.002866356144750985,0.08563238982443569,0.10784664994625583,0.0807954138301684,0.09082766033679684,0.42672877104980295,0.34127552848441417,13.199326270390594
1.0,0.0,0.74,0.1577797422553685,-0.4368595152736412,-0.8095238095238095,-0.5895765472312704,0.9799999999999995,0.3939393939393943,-0.6610020627100287,-0.29420911834987995,-0.6826786691845222,-0.28531219380121553,-0.76735128263874,-0.3521753064910958,-0.7590651319119116,-0.33516309064067906,0.012361160874238624,0.2998925116445718,0.1816553206735937,0.09620207810820494,0.0010748835542816195,0.0010748835542816195,0.0010748835542816195,0.0035829451809387316,0.37244715155858116,0.04084557506270154,0.11698316015764959,0.11393765675385166,0.42672877104980295,0.2076316732353995,14.498607907721096
1.0,0.0,-0.44,-0.32474017316700343,-0.130710724169022,0.2857142857142857,0.31596091205211724,-0.13999999999999968,0.19696969696969752,-0.5527681832102063,-0.24958881244601602,-0.5554987373326125,-0.23862840260291543,-0.5645605918392987,-0.310938343738616,-0.5886891862079704,-0.29785426392029707,0.0012540308133285561,0.2998925116445718,0.1816553206735937,0.2699749193837334,0.00017914725904693657,0.00017914725904693657,0.00017914725904693657,0.006091006807595844,0.08563238982443569,0.08437835901110713,0.09118595485489071,0.09082766033679684,0.443568613400215,0.43031171623074166,13.652992804936396
1.0,0.0,-0.42,-0.4955436830510289,-0.7740107156040448,1.0761904761904761,1.3908794788273615,0.41999999999999993,0.12121212121212134,-0.5463090520014175,0.05966263989018429,-0.5851991062529721,0.0748328890404546,-0.7137915998433192,-0.12218403809618858,-0.6950388663232069,-0.0637310136880734,0.00017914725904693657,0.13292726621282694,0.1934790397706915,0.2699749193837334,0.00017914725904693657,0.00017914725904693657,0.00017914725904693657,0.004299534217126478,0.33715514152633463,0.013077749910426371,0.13006091006807596,0.1082049444643497,0.443568613400215,0.43031171623074166,13.017005083966255
1.0,0.0,-0.828,-0.6023385776060158,-0.5122502697919676,0.6952380952380952,0.4723127035830619,-0.7400000000000002,-1.0,-0.5310405949705489,-0.2598214724184249,-0.5331989721088873,-0.25127033543598615,-0.48449821516994684,-0.2971094977815138,-0.5224672004567928,-0.28718605304033995,0.00017914725904693657,0.13292726621282694,0.10014331780723755,0.09190254389107846,0.00017914725904693657,0.00017914725904693657,0.0010748835542816195,0.026872088857040486,0.009853099247581511,0.10784664994625583,0.14905051952705123,0.09978502328914368,0.443568613400215,0.43031171623074166,12.20557752297723
1.0,0.0,-0.564,-0.43789749846517034,-0.294901115134524,1.1428571428571428,1.1368078175895766,-0.2400000000000002,-0.7575757575757573,-0.65832393396465,-0.28370707846660526,-0.6494131075659435,-0.27462577314272596,-0.7285912776131316,-0.33613241868886395,-0.7014521340790822,-0.3184381152121297,0.0008957362952346829,0.45234682909351487,0.21121461841633823,0.2699749193837334,0.00017914725904693657,0.00017914725904693657,0.00017914725904693657,0.011107130060910068,0.08563238982443569,0.09709781440343963,0.09118595485489071,0.11393765675385166,0.443568613400215,0.43031171623074166,13.279368835614243
1.0,0.0,0.024,-0.388791489373513,-0.8454884924301584,1.4190476190476191,1.234527687296417,-0.5599999999999996,0.3484848484848485,-0.045290113805289495,-0.1420956053996703,-0.1571783853346737,-0.13945898177695032,-0.1458682847154989,-0.173985382060017,-0.21742820436289073,-0.18142092547558084,0.011286277319957004,0.2998925116445718,0.1816553206735937,0.16069509136510213,0.0007165890361877463,0.0007165890361877463,0.0007165890361877463,0.026872088857040486,0.14582586886420637,0.135614475098531,0.15048369759942673,0.11519168756718022,0.443568613400215,0.43031171623074166,13.45883704259595
