bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Jardim Morumbi,296,4,3,4,1500000.0,1.5,5067.567567567568,Rua Barão do Rio Pardo,5662080.0,355030.854000076,MORUMBI,1.0,0.0,73.0,247.0,3.38,1.38,7212.33,181409776.45,8923.73,209662961.72,3521.46,69128313.86,5684.64,99512961.74
Pacaembu,424,4,2,6,2700000.0,2.7,6367.924528301887,Rua José de Freitas Guimarães,1237010.0,355030.860000052,PERDIZES,1.0,0.0,208.0,520.0,2.5,1.66,5995.64,95040803.28,6598.38,100647749.63,3830.58,51067131.07,4952.98,60496459.47
Vila Ipojuca,205,2,3,2,1570000.0,1.57,7658.536585365854,Rua Croata,5056020.0,355030.84800002,LAPA,1.0,0.0,321.0,924.0,2.88,2.59,5063.78,19311697.35,5209.85,19107104.28,3128.69,14434998.16,3982.4,14974814.53
Cambuci,93,2,2,1,595000.0,0.595,6397.849462365592,Rua Dom Duarte Leopoldo,1542000.0,355030.814000004,CAMBUCI,1.0,0.0,203.0,614.0,3.02,2.16,1496.46,3294223.98,1745.87,3408478.74,1053.52,2235311.66,1463.81,2505943.36
Tatuapé,255,4,2,3,1350000.0,1.35,5294.117647058823,Praça Louveira,3080050.0,355030.880000109,TATUAPE,1.0,0.0,196.5,592.5,3.024166666666666,1.8758333333333335,2323.3816666666667,8813443.070833335,2684.418333333333,9020142.370833334,1477.6858333333332,5521975.201666665,2154.7133333333336,6398249.989166666
Jardim Paulista,305,3,2,3,3950000.0,3.95,12950.819672131149,Rua Feliciano Maia,4503070.0,355030.832000034,MOEMA,1.0,0.0,156.0,547.0,3.51,3.5,8635.93,90965068.74,9041.64,91574355.65,4566.24,46412139.27,6178.57,52855685.76
Vila Mariana,94,3,2,2,860000.0,0.86,9148.936170212766,Rua Estela,4011000.0,355030.89000016,VILA MARIANA,1.0,0.0,241.0,387.0,1.61,0.91,3498.01,12580107.25,4033.59,12344806.9,3019.73,10761040.39,3767.09,10608425.93
Jardim Monte Azul,325,4,5,7,1000000.0,1.0,3076.923076923077,Avenida Tomás de Sousa,5836350.0,355030.846000288,JARDIM SÃO LUÍS,1.0,0.0,146.0,452.0,3.1,1.71,1401.82,14428566.96,1749.28,17422663.22,982.57,6045981.31,1420.46,8125925.31
Vila Madalena,335,4,3,4,1850000.0,1.85,5522.388059701492,Rua Sebastião Caleiro,5451120.0,355030.802000027,ALTO DE PINHEIROS,1.0,0.0,246.0,680.0,2.76,1.96,4759.94,18419182.78,4982.74,18170113.73,3094.44,14223341.66,4038.18,14751260.28
Sumaré,405,4,6,4,3000000.0,3.0,7407.407407407408,Rua Petrópolis,5665140.0,355030.860000055,PERDIZES,1.0,0.0,254.0,756.0,2.98,2.38,6712.36,56922931.95,8482.29,56919417.74,4437.43,52653970.88,6310.02,63078676.44
Jurubatuba,161,2,4,3,640000.0,0.64,3975.1552795031057,Rua Maria Clara Martins da Silveira,4675170.0,355030.816000054,CAMPO GRANDE,1.0,0.0,286.0,1013.0,3.54,3.33,1257.28,2469042.34,1696.15,2587058.71,768.53,1397455.56,1356.31,1669579.35
Jardim Luzitânia,459,4,6,4,3850000.0,3.85,8387.799564270152,Largo Mestre de Aviz,4031070.0,355030.832000157,MOEMA,1.0,0.0,244.0,834.0,3.42,2.29,15643.11,722959919.48,17349.64,772445680.23,6420.58,277243111.28,9885.65,392841205.14
Jardim Paulista,300,3,6,3,4900000.0,4.9,16333.333333333334,Rua Maestro Elias Lobo,1433000.0,355030.835000146,ITAIM BIBI,1.0,0.0,181.0,429.0,2.37,1.41,3406.05,44071360.24,5554.01,60078533.48,2342.24,23932872.5,4008.06,34322176.76
Vila Hamburguesa,145,2,2,3,980000.0,0.98,6758.620689655172,Rua Constantino Fraga,5318050.0,355030.888000029,VILA LEOPOLDINA,1.0,0.0,265.0,791.0,2.98,2.18,2097.58,3786107.02,2259.59,3712155.75,1366.85,2479691.4,1837.92,2468480.35
Planalto Paulista,430,4,5,3,2780000.0,2.78,6465.116279069767,Avenida Ireré,4064000.0,355030.877000121,SAÚDE,1.0,0.0,228.0,561.0,2.46,2.22,2477.46,28718884.98,4034.72,40572308.92,1750.51,14909548.82,3093.93,22219607.92
Paraíso,252,3,5,2,1590000.0,1.59,6309.523809523809,Avenida Armando Ferrentini,4103030.0,355030.890000162,VILA MARIANA,1.0,0.0,224.0,565.0,2.52,2.05,2536.0,11656102.4,3737.26,12694811.14,1779.38,7860162.68,3037.83,9601954.96
Campo Belo,485,7,8,4,2750000.0,2.75,5670.103092783505,Rua Vicente Leporace,4619030.0,355030.815000007,CAMPO BELO,1.0,0.0,218.0,588.0,2.7,1.72,10700.77,134263508.71,11605.81,135119670.71,6223.77,89388215.11,8489.78,102728872.24
Alto de Pinheiros,284,5,5,4,4300000.0,4.3,15140.845070422536,Praça Conde de Barcelos,5464030.0,355030.802000041,ALTO DE PINHEIROS,1.0,0.0,161.0,470.0,2.92,1.9,10921.25,105837952.94,11344.01,105134593.17,5809.59,67677795.08,7910.54,75557568.93
Vila Isa,130,3,2,2,730000.0,0.73,5615.384615384615,Rua Doutor Aldo de Assis Dias,4689150.0,355030.81600004,CAMPO GRANDE,1.0,0.0,217.0,651.0,3.0,2.19,1731.72,6241557.77,2053.46,6743252.8,1125.99,3525654.39,1762.55,4399179.32
Perdizes,200,2,2,1,1400000.0,1.4,7000.0,Rua Bartira,5009000.0,355030.86000003,PERDIZES,1.0,0.0,287.0,729.0,2.54,1.66,3745.75,24028542.01,5779.73,25327412.36,2489.25,16740989.98,4518.24,21230840.31
Vila Romana,80,1,1,2,480000.0,0.48,6000.0,Rua Quirino Pucca,5048060.0,355030.848000071,LAPA,1.0,0.0,108.0,311.0,2.88,1.86,3172.42,13877927.76,3532.18,14184139.81,2015.47,8296840.08,2750.08,9305398.29
Parque Colonial,505,3,5,5,1450000.0,1.45,2871.2871287128714,Rua Conde de Ipanema,4611020.0,355030.815000098,CAMPO BELO,1.0,0.0,212.0,567.0,2.67,1.95,3420.09,10875021.79,3643.52,10770880.49,1987.69,7352105.07,2922.12,8079849.6
Vila Anastácio,143,2,2,3,699000.0,0.699,4888.111888111888,Rua Camacam,5095000.0,355030.848000091,LAPA,1.0,0.0,133.0,412.0,3.1,2.36,1880.86,6914351.23,2213.75,7405529.72,1036.77,3704692.48,1795.84,5059946.15
Alto de Pinheiros,536,4,3,6,3500000.0,3.5,6529.850746268657,Rua Bennet,5464010.0,355030.802000041,ALTO DE PINHEIROS,1.0,0.0,161.0,470.0,2.92,1.9,10921.25,105837952.94,11344.01,105134593.17,5809.59,67677795.08,7910.54,75557568.93
Santo Amaro,276,6,6,2,1650000.0,1.65,5978.260869565217,Rua Alberto Hodge,4740020.0,355030.871000123,SANTO AMARO,1.0,0.0,140.0,492.0,3.51,1.49,8417.88,69976985.99,10429.23,65682296.93,4315.46,40493693.9,6861.28,46937710.66
Vila Romana,175,2,2,4,1250000.0,1.25,7142.857142857143,Rua Mauricina,5045030.0,355030.848000069,LAPA,1.0,0.0,173.0,436.0,2.52,1.41,3764.58,20165390.76,5614.42,19684324.14,2566.74,13250283.37,4142.25,14863960.56
Brooklin Paulista,385,5,3,6,2500000.0,2.5,6493.506493506494,Rua Nova York,4560000.0,355030.835000092,ITAIM BIBI,1.0,0.0,239.0,647.0,2.71,1.43,6879.69,72426401.32,8984.95,75691854.13,4146.51,41926573.82,6895.05,50791919.51
São Miguel Paulista,205,3,1,5,650000.0,0.65,3170.731707317073,Rua José Aldo Piassi,8011300.0,355030.874000111,SÃO MIGUEL,1.0,0.0,105.0,317.0,3.02,1.79,1241.55,1948766.69,1693.03,1892319.53,1161.56,1769846.43,1656.93,1703517.45
Jardim Paulistano,380,4,4,4,5100000.0,5.1,13421.052631578948,Rua Sampaio Vidal,1443000.0,355030.862000066,PINHEIROS,1.0,0.0,229.0,651.0,2.84,2.06,9335.12,131654257.84,10277.61,135277164.29,5479.48,147474207.99,7398.56,185012205.21
Planalto Paulista,155,3,4,3,790000.0,0.79,5096.774193548387,Rua Camundo,4071040.0,355030.877000123,SAÚDE,1.0,0.0,245.0,733.0,2.99,1.93,2926.73,15099968.8,4596.47,16045842.33,1846.16,9062308.25,3451.97,11408075.84
Santana,170,3,3,1,905000.0,0.905,5323.529411764706,Rua Wilson Dupont,2019040.0,355030.870000003,SANTANA,1.0,0.0,311.0,839.0,2.7,1.42,1991.05,10784416.14,4047.16,13618352.6,1551.81,7771253.15,3283.17,10765568.62
Itaim Bibi,156,4,3,2,1820000.0,1.82,11666.666666666666,Rua Tapinas,4531050.0,355030.83500006,ITAIM BIBI,1.0,0.0,201.5,505.625,2.59875,1.8825,7211.60625,152393380.97250003,8178.981249999999,158096323.71749997,4408.7787499999995,91758780.16375001,6251.250000000001,116955885.8525
Vila Guarani (Z Sul),138,3,3,2,550000.0,0.55,3985.507246376812,Rua Arapuã,4307070.0,355030.877000121,SAÚDE,1.0,0.0,228.0,561.0,2.46,2.22,2477.46,28718884.98,4034.72,40572308.92,1750.51,14909548.82,3093.93,22219607.92
Jardim América,420,4,5,6,8900000.0,8.9,21190.47619047619,Rua Bolívia,1437040.0,355030.845000025,JARDIM PAULISTA,1.0,0.0,140.04651162790697,434.90697674418607,3.1418604651162796,2.630232558139535,9033.24046511628,266588627.64046514,10071.55046511628,283340047.14441866,5541.238604651163,190345905.6916279,7288.641860465115,232339991.88441858
Jardim das Bandeiras,476,4,3,4,3640000.0,3.64,7647.058823529412,Rua Simpatia,5436020.0,355030.862000053,PINHEIROS,1.0,0.0,195.0,557.0,2.86,2.19,2610.39,24194814.88,4942.0,34381802.39,1583.57,14251814.09,4083.53,26604915.19
Jardim Guedala,678,4,6,6,7300000.0,7.3,10766.961651917403,Rua Inácio Pedroso,5612050.0,355030.854000002,MORUMBI,1.0,0.0,128.0,435.0,3.4,2.43,30598.4,1781723643.14,31842.24,1374996829.42,14166.74,976628790.68,21223.78,1436259424.69
Pacaembu,495,5,5,4,4000000.0,4.0,8080.80808080808,Rua Doutor Manoel Maria Tourinho,1236000.0,355030.860000129,PERDIZES,1.0,0.0,167.0,591.0,3.54,3.54,7566.26,126145311.9,8595.68,134516295.7,3876.99,59483468.02,5285.05,73680547.86
Perdizes,200,3,4,3,2660000.0,2.66,13300.0,Rua Apinajés,5017000.0,355030.860000218,PERDIZES,1.0,0.0,154.0,365.0,2.37,1.36,3568.36,18799707.17,4259.91,19502599.76,3134.21,19509180.31,4072.1,21535656.13
Ipiranga,130,3,2,5,1200000.0,1.2,9230.76923076923,Rua Vieira de Almeida,4268040.0,355030.834000019,IPIRANGA,1.0,0.0,266.0,796.0,2.99,1.48,6580.61,46991273.01,6758.46,47059550.66,3648.93,27499055.84,4923.94,30836170.21
Jardim das Bandeiras,815,6,5,8,8000000.0,8.0,9815.9509202454,Rua Irmão Gonçalo,5439080.0,355030.862000084,PINHEIROS,1.0,0.0,129.0,316.0,2.45,1.59,5224.43,55441056.51,6877.05,61676981.33,3461.14,33494224.91,5415.01,41867043.96
Vila Madalena,180,3,2,4,1600000.0,1.6,8888.888888888889,Rua Afonso José de Carvalho,5451000.0,355030.80200001,ALTO DE PINHEIROS,1.0,0.0,256.0,750.0,2.93,2.05,5275.82,37108189.91,5604.19,37579532.78,3254.92,24000150.83,4310.58,27239774.12
Cidade Jardim,420,4,5,3,3000000.0,3.0,7142.857142857143,Rua Muribeca,5676080.0,355030.854000128,MORUMBI,1.0,0.0,85.0,316.0,3.72,2.35,9390.13,203454625.47,17351.33,238574929.78,6830.71,976628790.68,13566.54,1436259424.69
Vila Nova Alba,147,3,3,2,500000.0,0.5,3401.360544217687,Rua Thereza Masironi Gonfiantini,5358030.0,355030.867000186,RIO PEQUENO,1.0,0.0,109.0,343.0,3.15,1.96,1328.55,4544965.27,1574.04,5003361.69,1143.5,2934710.75,1506.89,3321386.7
Jardim Everest,600,3,7,6,4950000.0,4.95,8250.0,Rua Maracaibo,5601010.0,355030.85400012,MORUMBI,1.0,0.0,69.0,294.0,4.26,5.43,15347.68,352387385.72,17080.48,362742975.17,5817.08,143003029.78,7631.58,173903702.67
Vila Pompéia,106,3,2,2,920000.0,0.92,8679.245283018869,Rua Barão do Bananal,5024000.0,355030.860000208,PERDIZES,1.0,0.0,283.0,741.0,2.62,1.32,7144.69,91893759.69,7325.89,92900552.39,4253.65,49238371.32,5461.98,56639803.44
Vila Nova Conceição,170,3,4,3,2690000.0,2.69,15823.529411764706,Travessa Doutor Ezequiel Antunes de Oliveira,4544120.0,355030.835000039,ITAIM BIBI,1.0,0.0,108.0,275.0,2.55,1.6,3670.56,14447904.36,4086.8,14384546.97,2448.73,11414768.65,3333.35,12595863.45
Pinheiros,686,4,6,6,5800000.0,5.8,8454.810495626822,Rua Abegoaria,5436170.0,355030.862000053,PINHEIROS,1.0,0.0,195.0,557.0,2.86,2.19,2610.39,24194814.88,4942.0,34381802.39,1583.57,14251814.09,4083.53,26604915.19
Vila Nova Cachoeirinha,180,3,3,2,650000.0,0.65,3611.1111111111113,Rua Pedro Osório Filho,2614000.0,355030.813000112,CACHOEIRINHA,1.0,0.0,248.0,775.0,3.13,1.83,1933.95,4983392.42,2112.86,5066762.12,1136.21,2824859.73,1675.67,3263034.6
Saúde,90,2,4,2,750000.0,0.75,8333.333333333334,Alameda dos Guatás,4053040.0,355030.877000036,SAÚDE,1.0,0.0,245.0,668.0,2.73,1.73,4150.18,21252425.75,4621.8,21488855.62,2749.54,15978208.85,3827.06,18121023.38
Indianópolis,218,3,3,3,1690000.0,1.69,7752.293577981652,Alameda dos Anapurus,4087000.0,355030.832000076,MOEMA,1.0,0.0,292.0,898.0,3.08,1.42,5042.26,28454271.66,7325.07,24595593.67,4245.49,22240779.97,6672.77,18752506.29
Jardim Europa,319,3,3,4,5000000.0,5.0,15673.98119122257,Rua Portugal,1446020.0,355030.835000125,ITAIM BIBI,1.0,0.0,191.0,475.0,2.49,1.43,3439.98,13103874.35,4006.32,12991605.29,2836.41,12263178.27,3908.71,12709303.67
Alto de Pinheiros,331,3,5,3,3500000.0,3.5,10574.018126888215,Rua Antônio de Gouveia Giudice,5460000.0,355030.802000017,ALTO DE PINHEIROS,1.0,0.0,231.0,798.0,3.45,2.34,9914.58,241108526.78,12054.04,267486877.04,4452.73,99030343.89,7677.85,146106011.47
Jardim Luzitânia,395,4,7,3,6600000.0,6.6,16708.86075949367,Rua Dom Henrique,4032120.0,355030.832000002,MOEMA,1.0,0.0,252.0,879.0,3.49,2.68,12214.77,230843096.72,13620.0,238293879.92,5027.85,104713404.65,7496.88,137684009.87
Vila Carolina,160,3,2,3,400000.0,0.4,2500.0,Rua Luiz Amorim Costa,8040150.0,355030.874000054,SÃO MIGUEL,1.0,0.0,255.0,872.0,3.42,2.85,1057.45,1042494.31,1260.04,986685.52,729.65,899981.38,1220.79,906212.19
Vila Constança,100,2,2,2,480000.0,0.48,4800.0,Avenida Celso dos Santos,4658240.0,355030.822000109,CIDADE ADEMAR,1.0,0.0,265.0,857.0,3.23,2.76,1013.94,1015555.35,1377.92,877871.61,820.37,1098792.36,1348.25,1094097.68
Pinheiros,1100,4,6,8,19000000.0,19.0,17272.727272727272,Rua Turquia,1449050.0,355030.862000113,PINHEIROS,1.0,0.0,135.0,378.0,2.8,2.46,7283.71,126400757.18,9454.82,143716995.8,4446.15,94655682.76,7481.5,136769908.97
Cambuci,281,3,5,3,1490000.0,1.49,5302.491103202847,Rua Gama Cerqueira,1539010.0,355030.814000018,CAMBUCI,1.0,0.0,228.0,548.0,2.4,1.78,2814.4,13244519.28,2957.06,13495184.81,1968.24,8537742.84,2416.46,9401027.96
Parque Jabaquara,126,4,3,3,695000.0,0.695,5515.873015873016,Rua Almeida Ferraz,4357100.0,355030.815000078,CAMPO BELO,1.0,0.0,264.0,789.0,2.99,1.8,3401.52,9606009.86,3620.97,9430413.63,1940.38,6639559.92,2954.13,7114619.35
Jardim Guedala,650,3,3,3,5500000.0,5.5,8461.538461538461,Rua Pirapó,5610060.0,355030.854000118,MORUMBI,1.0,0.0,76.0,312.0,4.11,3.54,29925.26,1781723643.14,33945.07,1374996829.42,11044.34,976628790.68,15472.75,1436259424.69
Santo Amaro,350,3,4,6,2950000.0,2.95,8428.57142857143,Rua Senador Vergueiro,4739060.0,355030.871000024,SANTO AMARO,1.0,0.0,169.0,533.0,3.15,2.25,7391.6,118341101.6,11566.48,137066576.29,4188.71,61439066.94,8156.06,87378857.45
Jardim Umuarama,250,3,1,1,950000.0,0.95,3800.0,Rua Líbero Ripole,4650010.0,355030.822000232,CIDADE ADEMAR,1.0,0.0,336.0,962.0,2.86,2.0,2939.29,10583637.75,3671.38,10531730.9,1963.41,6792677.1,2938.46,7301712.84
Alto de Pinheiros,295,4,4,4,4000000.0,4.0,13559.322033898305,Rua Orobó,5466030.0,355030.802000017,ALTO DE PINHEIROS,1.0,0.0,231.0,798.0,3.45,2.34,9914.58,241108526.78,12054.04,267486877.04,4452.73,99030343.89,7677.85,146106011.47
Vila Antônio,110,2,1,2,480000.0,0.48,4363.636363636364,Rua Engenheiro Pedro Garcin,5376120.0,355030.867000092,RIO PEQUENO,1.0,0.0,96.0,261.0,2.72,1.49,3148.23,8196221.04,3555.65,7803655.83,2563.36,7034419.61,3386.17,6502929.36
Pinheiros,700,5,7,5,9500000.0,9.5,13571.42857142857,Rua Mário Guastini,5420010.0,355030.802000038,ALTO DE PINHEIROS,1.0,0.0,153.0,516.0,3.37,1.76,10076.96,87429854.02,10347.48,86974682.98,5004.27,51693113.45,6733.8,57930139.95
Campo Belo,145,3,3,2,900000.0,0.9,6206.896551724138,Rua Domingos Lopes,4606050.0,355030.815000138,CAMPO BELO,1.0,0.0,119.0,349.0,2.93,1.79,7687.32,265676582.93,9836.46,319389348.66,3941.17,101435751.73,5855.91,139658468.61
Jardim Brasil (Zona Sul),174,3,4,1,599000.0,0.599,3442.528735632184,Rua Ática,4634040.0,355030.81500004,CAMPO BELO,1.0,0.0,179.0,441.0,2.46,1.12,5036.32,16753340.98,5210.99,16422264.6,3498.12,15016971.21,4402.25,14917772.4
Vila Madalena,210,3,1,2,1050000.0,1.05,5000.0,Rua Ajurapéia,5443100.0,355030.862000105,PINHEIROS,1.0,0.0,96.0,275.0,2.86,2.56,3308.65,11532203.41,4179.34,10920000.89,2109.69,8742180.22,3109.65,9782334.76
Indianópolis,420,4,7,4,1800000.0,1.8,4285.714285714285,Avenida Iraí,4082000.0,355030.877000153,SAÚDE,1.0,0.0,164.0,446.0,2.72,2.01,4754.72,25986287.41,5063.47,26111184.11,2878.71,15492008.34,3724.85,16898328.63
Brooklin Paulista,150,2,3,4,1590000.0,1.59,10600.0,Rua Nova Orleans,4561030.0,355030.835000175,ITAIM BIBI,1.0,0.0,132.0,366.0,2.77,1.49,3807.9,13113510.1,4021.14,12989395.01,2450.6,9928462.22,3292.12,10569870.0
Vila São Geraldo,160,3,3,2,636000.0,0.636,3975.0,Rua Maria Teresa Assunção,3609000.0,355030.859000105,PENHA,1.0,0.0,226.0,662.0,2.93,2.13,1348.49,3384105.54,1621.06,3627574.28,1063.52,2202813.7,1501.74,2452988.05
Parque da Mooca,341,4,3,4,2300000.0,2.3,6744.868035190616,Rua Vicente Romano,3124050.0,355030.853000069,MOOCA,1.0,0.0,296.0,716.0,2.42,1.87,4769.45,34498093.92,5347.56,35592318.29,2747.98,21008658.44,4249.78,26119688.57
Mooca,106,3,3,2,450000.0,0.45,4245.2830188679245,Rua Manuel Galvão,3190010.0,355030.801000029,ÁGUA RASA,1.0,0.0,231.0,719.0,3.11,2.27,1918.61,44713227.42,2051.84,47558102.99,1178.21,17698709.46,1601.35,23389660.62
Jardim Sílvia (Zona Oeste),1643,4,8,10,4495000.0,4.495,2735.849056603773,Rua Stefan Marek Neuding,5678030.0,355030.854000126,MORUMBI,1.0,0.0,62.0,231.0,3.73,2.69,35612.9,716338519.3,35612.9,716338519.3,12538.99,452586728.93,17750.0,548804095.42
Jardim Europa,600,4,4,7,13500000.0,13.5,22500.0,Rua Alemanha,1448010.0,355030.862000113,PINHEIROS,1.0,0.0,159.4878048780488,423.4634146341463,2.7412195121951224,2.1496341463414637,10646.131585365853,325580753.64926827,12435.839512195122,356007044.8071951,5984.678292682927,192498016.41499996,8901.508902439027,250887901.0190244
Indianópolis,225,3,2,2,1850000.0,1.85,8222.222222222223,Rua Kalil Filho,4084110.0,355030.877000124,SAÚDE,1.0,0.0,227.0,597.0,2.63,1.57,4198.25,27516629.89,4453.29,28054977.65,2607.21,15214617.06,3428.91,17196901.71
Vila Olímpia,200,2,3,2,2900000.0,2.9,14500.0,Avenida Doutor Cardoso de Melo,4548000.0,355030.835000014,ITAIM BIBI,1.0,0.0,281.0,749.0,2.67,1.72,5084.41,22908524.74,5331.04,22704192.5,3386.15,18140427.35,4228.02,19092827.06
Chácara Califórnia,140,2,1,2,1400000.0,1.4,10000.0,Rua Raqueta Provensano,3404030.0,355030.820000101,CARRÃO,1.0,0.0,217.0,571.0,2.63,1.52,2527.38,5479512.72,2636.74,5428012.09,1667.36,4010141.49,2128.9,4137926.69
Vila Mariana,290,4,5,2,2900000.0,2.9,10000.0,Rua Professor Murtinho,4019080.0,355030.890000064,VILA MARIANA,1.0,0.0,247.0,660.0,2.67,1.64,5306.4,41682622.11,5903.96,42853871.75,3642.49,27416317.37,4794.79,30571104.48
Butantã,371,3,4,3,2800000.0,2.8,7547.169811320755,Rua Alexandre Marcondes Machado,5506040.0,355030.812000053,BUTANTÃ,1.0,0.0,95.0,341.0,3.59,2.22,8630.42,39191212.59,9645.76,33946474.71,4215.37,30405646.71,6136.8,32483237.54
Brooklin Paulista,146,3,4,3,1500000.0,1.5,10273.972602739726,Rua Marquês de Cascais,4557030.0,355030.835000031,ITAIM BIBI,1.0,0.0,265.0,748.0,2.82,1.91,3584.98,18105841.67,4008.52,18549020.17,2550.52,13516485.87,3230.03,14925299.55
Vila Mariana,300,4,5,4,1900000.0,1.9,6333.333333333333,Rua Topázio,2812260.0,355030.84900005,LIBERDADE,1.0,0.0,348.0,851.0,2.45,1.65,4646.09,28240773.19,5575.31,28709858.04,3452.31,21186423.39,4778.72,22991068.96
Vila Pompéia,110,3,3,1,970000.0,0.97,8818.181818181818,Rua Doutor Augusto de Miranda,5026000.0,355030.860000117,PERDIZES,1.0,0.0,138.0,404.0,2.93,1.41,6768.84,23117343.17,7023.31,22192255.64,4530.56,58380716.45,5786.22,67329132.63
Ipiranga,140,3,2,2,750000.0,0.75,5357.142857142857,Rua Dom Lucas Obes,4212020.0,355030.834000051,IPIRANGA,1.0,0.0,136.0,388.0,2.85,2.3,1514.85,3421699.24,1716.83,3532078.96,1068.39,2402787.1,1550.3,2740931.11
Vila ESão Pauloerança,170,3,3,2,680000.0,0.68,4000.0,Rua Dezenove de Maio,3648080.0,355030.859000046,PENHA,1.0,0.0,182.0,493.0,2.71,2.28,1785.91,16891890.25,1846.8,17357959.14,1293.22,15792550.57,1730.93,20394244.76
Vila Progredior,700,4,8,5,7800000.0,7.8,11142.857142857143,Rua Morishigue Akagui,5615140.0,355030.854000006,MORUMBI,1.0,0.0,225.0,686.0,3.05,2.0,14999.71,646500207.36,15271.2,654089964.31,7609.62,322675635.52,9932.55,398263064.47
Jardim Petrópolis,255,3,3,5,1400000.0,1.4,5490.196078431372,Rua Miranda Guerra,4640000.0,355030.871000056,SANTO AMARO,1.0,0.0,238.0,816.0,3.43,2.09,10757.82,162794237.28,13266.11,167500448.74,5021.17,83975121.64,8705.77,113590880.3
Jardim Guedala,521,4,7,4,3750000.0,3.75,7197.696737044146,Rua General Sena Vasconcelos,5611010.0,355030.854000006,MORUMBI,1.0,0.0,225.0,686.0,3.05,2.0,14999.71,646500207.36,15271.2,654089964.31,7609.62,322675635.52,9932.55,398263064.47
Sumaré,646,5,4,3,2640000.0,2.64,4086.687306501548,Rua Capital Federal,1259010.0,355030.860000037,PERDIZES,1.0,0.0,165.0,463.0,2.81,1.75,3867.2,9739562.87,3963.28,9599882.08,2376.44,7935952.87,3073.72,8121787.93
Sumaré,651,5,4,3,2640000.0,2.64,4055.299539170506,Rua Capital Federal,1259010.0,355030.860000037,PERDIZES,1.0,0.0,165.0,463.0,2.81,1.75,3867.2,9739562.87,3963.28,9599882.08,2376.44,7935952.87,3073.72,8121787.93
Jardim Vila Mariana,235,4,4,2,1700000.0,1.7,7234.04255319149,Rua Rodrigo Vieira,4115060.0,355030.890000049,VILA MARIANA,1.0,0.0,310.0,814.0,2.63,1.68,5115.98,44683298.2,5431.35,45728452.14,3533.43,29792284.5,4383.85,33240361.52
Jardim Novo Mundo,220,4,5,3,2700000.0,2.7,12272.727272727272,Rua Catuicara,4518000.0,355030.832000131,MOEMA,1.0,0.0,208.0,626.0,3.01,1.85,6999.68,43383137.37,7390.52,42914619.2,3810.66,33281833.96,5342.22,38488801.87
Jardim Europa,265,5,6,4,4800000.0,4.8,18113.20754716981,Rua Grécia,4911080.0,355030.845000095,JARDIM PAULISTA,1.0,0.0,215.0,502.0,2.33,1.57,9352.24,95106452.91,10206.76,95074342.34,5261.07,67820714.8,8719.91,82298075.51
Jardim Paulista,420,3,7,3,8700000.0,8.7,20714.28571428572,Rua General Fonseca Teles,1433020.0,355030.845000074,JARDIM PAULISTA,1.0,0.0,184.0,543.0,2.95,1.81,15387.8,1781723643.14,19392.85,1374996829.42,7373.45,835851438.79,12484.01,1353166485.89
Vila Tramontano,600,3,6,8,4900000.0,4.9,8166.666666666667,Rua Dom Tomás Costa e Lima,5692020.0,355030.883000075,VILA ANDRADE,1.0,0.0,58.0,202.0,3.48,2.11,9792.57,60116349.44,12347.15,43904618.84,4955.98,45450913.47,8456.99,47973553.82
Paineiras do Morumbi,500,4,4,5,2500000.0,2.5,5000.0,Rua Adalívia de Toledo,5683000.0,355030.854000004,MORUMBI,1.0,0.0,77.0,254.0,3.3,1.58,22383.57,439311861.75,24275.14,430393077.12,10033.82,246867410.89,14679.1,293255579.47
Paineiras do Morumbi,580,3,4,6,4100000.0,4.1,7068.96551724138,Rua Margarida Galvão,5683030.0,355030.854000004,MORUMBI,1.0,0.0,77.0,254.0,3.3,1.58,22383.57,439311861.75,24275.14,430393077.12,10033.82,246867410.89,14679.1,293255579.47
Vila Nova Alba,152,3,3,2,500000.0,0.5,3289.4736842105262,Rua Thereza Masironi Gonfiantini,5358030.0,355030.867000186,RIO PEQUENO,1.0,0.0,109.0,343.0,3.15,1.96,1328.55,4544965.27,1574.04,5003361.69,1143.5,2934710.75,1506.89,3321386.7
Jardim Everest,605,3,7,6,4950000.0,4.95,8181.818181818182,Rua Maracaibo,5601010.0,355030.85400012,MORUMBI,1.0,0.0,69.0,294.0,4.26,5.43,15347.68,352387385.72,17080.48,362742975.17,5817.08,143003029.78,7631.58,173903702.67
Vila Pompéia,111,3,2,2,920000.0,0.92,8288.288288288288,Rua Barão do Bananal,5024000.0,355030.860000208,PERDIZES,1.0,0.0,283.0,741.0,2.62,1.32,7144.69,91893759.69,7325.89,92900552.39,4253.65,49238371.32,5461.98,56639803.44
Vila Nova Conceição,175,3,4,3,2690000.0,2.69,15371.42857142857,Travessa Doutor Ezequiel Antunes de Oliveira,4544120.0,355030.835000039,ITAIM BIBI,1.0,0.0,108.0,275.0,2.55,1.6,3670.56,14447904.36,4086.8,14384546.97,2448.73,11414768.65,3333.35,12595863.45
